"StartDate","EndDate","In.what.year.were.you.born...enter.4.digit.birth.year..for.example..1976....Open.Ended.Response","Are.you.male.or.female.","What.is.your.relationship.status.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....In.general..I.feel.I.am.in.charge.of.the.situation.in.which.I.live.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....The.demands.of.everyday.life.often.get.me.down.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....I.do.not.fit.very.well.with.the.people.and.the.community.around.me.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....I.am.quite.good.at.managing.the.many.responsibilities.of.my.daily.life.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....I.often.feel.overwhelmed.by.my.responsibilities.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....If.I.were.unhappy.with.my.living.situation..I.would.take.effective.steps.to.change.it.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....I.generally.do.a.good.job.of.taking.care.of.my.personal.finances.and.affairs.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....I.find.it.stressful.that.I.can.t.keep.up.with.all.of.the.things.I.have.to.do.each.day.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....I.am.good.at.juggling.my.time.so.that.I.can.fit.everything.in.that.needs.to.get.done.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....My.daily.life.is.busy..but.I.derive.a.sense.of.satisfaction.from.keeping.up.with.everything.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....I.get.frustrated.when.trying.to.plan.my.daily.activities.because.I.never.accomplish.the.things.I.set.out.to.do.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....My.efforts.to.find.the.kinds.of.activities.and.relationships.that.I.need.have.been.quite.successful.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....I.have.difficulty.arranging.my.life.in.a.way.that.is.satisfying.to.me.","The.following.set.of.questions.deal.with.how.you.feel.about.yourself.and.your.life..Please.remember.that.there.are.no.right.or.wrong.answers....I.have.been.able.to.build.a.home.and.a.lifestyle.for.myself.that.is.much.to.my.liking.","How.familiar.are.you.with.the.notion.of.complete.mental.silence.","At.some.time.in.my.life..I.have.experienced.complete.mental.silence.","I.have.experienced.complete.mental.silence.in.my.childhood.","I.believe.that.complete.mental.silence.is.possible.for.everybody...","If.you.have.never.experienced.complete.mental.silence..are.you.interested.in.learning.how.to.experience.it...","Please.indicate.your.agreement.or.disagreement.with.the.following.statements....It.takes.too.much.effort.for.me.to.experience.complete.mental.silence.","Please.indicate.your.agreement.or.disagreement.with.the.following.statements....I.won.t.feel.emotionally.prepared.to.experience.complete.mental.silence..not.currently.and.probably.not.during.the.next.1.2.weeks.","Please.indicate.your.agreement.or.disagreement.with.the.following.statements....I.am.afraid.of.what.will.happen.if.I.stop.thinking.","Please.indicate.your.agreement.or.disagreement.with.the.following.statements....I.never.slow.down.long.enough.to.experience.complete.mental.silence.","Please.indicate.your.agreement.or.disagreement.with.the.following.statements....My.life.circumstances.prevent.me.from.experiencing.complete.mental.silence..currently.and.probably.during.the.next.1.2.weeks.","Please.indicate.your.agreement.or.disagreement.with.the.following.statements....If.I.experience.complete.mental.silence.then.I.may.lose.an.important.aspect.of.who.I.am.","Please.indicate.your.agreement.or.disagreement.with.the.following.statements....I.am.too.emotionally.preoccupied.to.experience.complete.mental.silence..currently.and.probably.during.the.next.1.2.weeks.","During.the.past.2.weeks....I.yearned.for.the.experience.of.complete.mental.silence.","During.the.past.2.weeks....I.created.favorable.external.conditions.to.allow.myself.to.experience.complete.mental.silence.","During.the.past.2.weeks....I.allowed.myself.to.experience.complete.mental.silence.","During.the.past.2.weeks....I.taught..or.helped.teach..other.people.how.to.experience.complete.mental.silence.","During.the.last.30.days..how.often.did.you.allocate.time.to.experience..or.try.to.experience..complete.mental.silence.","During.the.last.30.days..how.much.time.did.you.set.aside.per.structured.session.to.experience..or.try.to.experience..complete.mental.silence.","In.what.percentage.of.these.structured.sessions.did.you.actually.experience.complete.mental.silence..e.g..30.for.30..of.the.sessions.....Open.Ended.Response","During.structured.sessions..approximately.how.long.did.your.longest.experience.of.complete.mental.silence.last.","During.the.last.30.days..approximately.how.long.did.your.longest.experience.of.complete.mental.silence.last.outside.of.structured.sessions.","I.have.met..in.person..someone.who.is.convincingly.familiar.with.complete.mental.silence.","In.your.lifetime..how.many.people.have.you.met.who.were.convincingly.familiar.with.complete.mental.silence....Enter.0.for.none..Enter.a.number.between.1.and.1000..Enter.1000.for.1000.or.more.","I.have.sat.together.with.other.people.where.we.were.jointly.engaged.in..or.tried.to.engage.in..complete.mental.silence.","In.your.lifetime..with.how.many.people.have.you.sat.together.with.while.jointly.engaged.in..or.trying.to.engage.in..complete.mental.silence...For.example..if.your.experience.consists.of.a.session.with.10.people.on.one.occasion.and.a.session.with.20.people.on.a.separate.occasion.then.all.together.you.would.enter.30....Enter.0.for.none..Enter.a.number.between.1.and.1000..Enter.1000.for.1000.or.more.","During.my.lifetime..I.have.taught..or.helped.teach..other.people.how.to.experience.complete.mental.silence.","In.your.lifetime..how.many.people.have.you.taught..or.helped.teach..how.to.experience.complete.mental.silence....Enter.0.for.none..Enter.a.number.between.1.and.1000..Enter.1000.for.1000.or.more.","I.know.how.to.train.teachers.who.can.teach.people.how.to.experience.complete.mental.silence.","In.your.lifetime..how.many.teachers.have.you.trained.who.can.teach.others.how.to.experience.complete.mental.silence....Enter.0.for.none..Enter.a.number.between.1.and.1000..Enter.1000.for.1000.or.more.","id","time","uid","labTA","labTime"
"01/23/2015 19:24:09","01/23/2015 19:30:34",1992,"Male","In a long-term relationship (i.e. together more than a year)","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Somewhat","The notion has crossed my mind, but I'm not sure what it means to me.","Agree somewhat","Not sure","Disagree somewhat","Yes, I am moderately curious","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","I don't understand this question.","I don't understand this question.","I don't understand this question.","I don't understand this question.","","",NA,"","","Not sure",0,"Disagree",0,"Disagree",0,"Disagree",0,800,1,1100,NA,NA
"01/23/2015 16:33:18","01/23/2015 16:38:25",1992,"Male","Single","Agree Somewhat","Disagree Slightly","Strongly Disagree","Agree Slightly","Disagree Somewhat","Strongly Agree","Agree Slightly","Disagree Slightly","Agree Slightly","Agree Slightly","Disagree Slightly","Agree Slightly","Disagree Slightly","Agree Slightly","I have an interest in this topic.","Agree somewhat","","Not sure","I have experienced complete mental silence.","Disagree somewhat","Not sure","Disagree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat","Disagree somewhat","Agree somewhat","Agree somewhat","Agree somewhat","Disagree","I don't specifically allocate my time for complete mental silence.","I don't plan any particular amount of time",NA,"I have no idea of how much time elapsed.","I have no idea of how much time elapsed.","Disagree",0,"Disagree",0,"Disagree",0,"Disagree",0,801,1,1101,NA,NA
"01/22/2015 21:02:32","01/22/2015 21:13:29",1994,"Male","Single","Agree Slightly","Agree Somewhat","Disagree Somewhat","Disagree Somewhat","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Disagree Somewhat","Disagree Somewhat","Disagree Somewhat","Disagree Slightly","Agree Somewhat","Agree Somewhat","I have an interest in this topic.","Agree somewhat","Not sure","Agree somewhat","Yes, I am keenly curious","Agree somewhat","Disagree somewhat","Disagree","Disagree somewhat","Agree somewhat","Disagree","Disagree somewhat","Agree somewhat","Disagree","Disagree","Disagree","1-3 times a month","21-30 minutes",15,"Between 1 minute and 10 minutes","I didn't experience complete mental silence.","Agree",5,"Agree",20,"Disagree",0,"Disagree",0,802,1,1102,3,"Fr 1:00PM - 1:50PM"
"01/22/2015 18:21:15","01/22/2015 18:26:53",NA,"Male","Single","Strongly Agree","Agree Somewhat","Agree Somewhat","Agree Somewhat","Agree Slightly","Disagree Slightly","Agree Somewhat","Agree Slightly","Agree Slightly","Agree Slightly","Disagree Slightly","Disagree Somewhat","Agree Slightly","Agree Somewhat","The notion has crossed my mind, but I'm not sure what it means to me.","Agree somewhat","Agree somewhat","Agree","Yes, I am moderately curious","Not sure","Disagree somewhat","Disagree","Disagree somewhat","Disagree somewhat","Disagree somewhat","Agree somewhat","Agree somewhat","Disagree somewhat","Disagree","Disagree","1-3 times a month","Less than 10 minutes",0,"Between 10 seconds and 1 minute","Between 10 seconds and 1 minute","Not sure",0,"Disagree somewhat",0,"Disagree",0,"Disagree",0,803,1,1103,NA,NA
"01/22/2015 16:27:59","01/22/2015 17:05:52",1992,"Male","In a long-term relationship (i.e. together more than a year)","Agree Somewhat","Agree Slightly","Disagree Slightly","Agree Slightly","Agree Slightly","Disagree Somewhat","Agree Somewhat","Agree Slightly","Disagree Somewhat","Agree Slightly","Agree Slightly","Agree Slightly","Agree Slightly","Disagree Somewhat","The notion has crossed my mind, but I'm not sure what it means to me.","Agree somewhat","Disagree somewhat","Not sure","Yes, I am moderately curious","Not sure","Not sure","Disagree somewhat","Agree somewhat","Not sure","Disagree","Agree somewhat","Not sure","Disagree somewhat","Disagree somewhat","Disagree somewhat","","",NA,"","","Agree",10,"Agree",500,"Disagree",0,"Disagree",0,804,1,1104,NA,NA
"01/22/2015 16:23:14","01/22/2015 16:27:13",1995,"Male","Single","Agree Somewhat","Agree Somewhat","Disagree Somewhat","Agree Slightly","Disagree Slightly","Agree Somewhat","Agree Slightly","Agree Somewhat","Agree Somewhat","Agree Somewhat","Disagree Slightly","Agree Slightly","Disagree Slightly","Agree Somewhat","The notion has crossed my mind, but I'm not sure what it means to me.","Not sure","Not sure","Agree","Yes, I am keenly curious","Not sure","Agree somewhat","Not sure","Agree somewhat","Agree somewhat","Not sure","Agree somewhat","Not sure","Not sure","Not sure","Not sure","I don't specifically allocate my time for complete mental silence.","I don't plan any particular amount of time",NA,"I didn't experience complete mental silence.","I didn't experience complete mental silence.","Agree",5,"Agree somewhat",5,"Not sure",0,"Disagree somewhat",0,805,1,1105,NA,NA
"01/22/2015 16:14:54","01/22/2015 16:22:14",1993,"Male","Single","Agree Somewhat","Disagree Slightly","Disagree Slightly","Agree Somewhat","Disagree Somewhat","Agree Somewhat","Agree Somewhat","Disagree Slightly","Agree Somewhat","Agree Slightly","Disagree Somewhat","Agree Somewhat","Disagree Somewhat","Agree Somewhat","This is the first time I have thought about it.","Not sure","Not sure","Agree","Yes, I am moderately curious","Not sure","Not sure","Disagree somewhat","Not sure","Not sure","Not sure","Not sure","Disagree","Disagree","Not sure","Disagree","I don't specifically allocate my time for complete mental silence.","I don't plan any particular amount of time",NA,"I didn't experience complete mental silence.","I didn't experience complete mental silence.","Not sure",0,"Disagree",0,"Disagree",0,"Disagree",0,806,1,1106,NA,NA
"01/22/2015 15:54:29","01/22/2015 16:01:24",NA,"Male","Other","Agree Slightly","Disagree Slightly","Strongly Disagree","Agree Somewhat","Agree Slightly","Agree Somewhat","Disagree Slightly","Disagree Slightly","Agree Slightly","Agree Somewhat","Disagree Slightly","Agree Somewhat","Disagree Slightly","Agree Slightly","This is the first time I have thought about it.","Not sure","Not sure","Disagree","Yes, I am moderately curious","Not sure","Disagree","Disagree","Agree somewhat","Disagree somewhat","Not sure","Disagree somewhat","Not sure","Not sure","Disagree","Disagree","I don't specifically allocate my time for complete mental silence.","Less than 10 minutes",0,"I didn't experience complete mental silence.","I didn't experience complete mental silence.","Agree somewhat",1,"Agree",15,"Disagree",0,"Disagree",0,807,1,1107,NA,NA
"01/22/2015 14:21:03","01/22/2015 14:27:37",1996,"Female","Other","Agree Somewhat","Disagree Somewhat","Strongly Disagree","Agree Somewhat","Agree Slightly","Agree Somewhat","Agree Slightly","Agree Slightly","Strongly Agree","Agree Somewhat","Strongly Disagree","Agree Somewhat","Disagree Somewhat","Agree Somewhat","The notion has crossed my mind, but I'm not sure what it means to me.","Not sure","Not sure","Agree","Yes, I am moderately curious","Not sure","Disagree somewhat","Disagree somewhat","Not sure","Not sure","Disagree somewhat","Agree somewhat","Agree somewhat","Agree somewhat","Agree somewhat","Not sure","","",NA,"","","Disagree somewhat",0,"Disagree",0,"Disagree",0,"Disagree",0,808,1,1108,NA,NA
"01/22/2015 08:05:26","01/22/2015 14:47:24",NA,"Female","In a long-term relationship (i.e. together more than a year)","Disagree Slightly","Strongly Agree","Disagree Slightly","Strongly Disagree","Strongly Agree","Disagree Somewhat","Strongly Disagree","Strongly Agree","Strongly Disagree","Agree Somewhat","Strongly Agree","Disagree Somewhat","Strongly Agree","Disagree Somewhat","This is the first time I have thought about it.","Agree somewhat","Disagree","Agree","Yes, I am moderately curious","Agree somewhat","Agree somewhat","Disagree","Agree","Agree","Disagree","Agree","Agree somewhat","Disagree somewhat","Disagree somewhat","Disagree","I don't specifically allocate my time for complete mental silence.","I don't plan any particular amount of time",0,"I didn't experience complete mental silence.","I didn't experience complete mental silence.","Agree somewhat",3,"Agree",20,"Disagree somewhat",0,"Disagree",0,809,1,1109,3,"Fr 2:00PM - 2:50PM"
