id,end,ip,city,country,born,edu,work,sex,rel,msNotAny,msNotSelf,msMet,msAccident,msShared,msCause,msTeach,msEvery,msPay,msTrainTeach,boreFidget,boreCheer,boreLone,wantLearn,freqCause,pctSuccess,freqAccident,durationCharacter,maxDuration,religion,re.desc,re.ms.pf,re.b.pf,re.subjTime,re.ms.gi,re.b.gi,spiritual,spiritual.desc,sp.ms.pf,sp.b.pf,sp.subjTime,sp.ms.gi,sp.b.gi,ps.ms.pf,ps.b.pf,ps.subjTime,ps.ms.gi,ps.b.gi,rx.ms.pf,rx.b.pf,rx.subjTime,rx.ms.gi,rx.b.gi,pe.desc,pe.ms.pf,pe.b.pf,pe.subjTime,pe.ms.gi,pe.b.gi,wo.ms.pf,wo.b.pf,wo.subjTime,wo.ms.gi,wo.b.gi,meditation,me.ms.pf,me.b.pf,me.subjTime,me.ms.gi,me.b.gi,dd.ms.pf,dd.b.pf,dd.subjTime,dd.ms.gi,dd.b.gi,flow.desc,flow.think,fl.ms.pf,fl.b.pf,ms.flow,flow.ms,fl.subjTime,fl.ms.gi,fl.b.gi,m.training,m.training.desc,m.regular,m.desc,comment
1870411268,"06/07/2012 05:07:41",AS;India;Maharashtra;Mumbai,Pune,India,1986,"Graduate degree",Salaried,Female,,Disagree,Disagree,Agree,"Not sure","Agree somewhat","Agree somewhat","Agree somewhat",Agree,,Disagree,"Not sure",False,False,"I know how to cause myself to experience complete mental silence.",Infrequently,,Infrequently,"Sometimes moments and sometimes continuous (e.g. isolated seconds and sometimes ten seconds or longer)","1-2 minutes",Yes,,Infrequently,,"Subjective time is somewhat faster than actual time.",Important,"Somewhat inappropriate",Yes,,Infrequently,,"I am unaware of actual time.",Important,"Somewhat inappropriate",Infrequently,,"Subjective time is somewhat faster than actual time.",Important,"Somewhat inappropriate",Infrequently,,"Subjective time is somewhat faster than actual time.",Important,"Somewhat inappropriate",,Infrequently,,"I am unaware of actual time.",Important,"Somewhat inappropriate",Infrequently,,"Subjective time is somewhat slower than actual time.",Important,"Somewhat inappropriate",Yes,Infrequently,,"Subjective time is somewhat faster than actual time.",Important,"Somewhat inappropriate",Infrequently,,"Subjective time is somewhat faster than actual time.",Important,"Somewhat inappropriate",,None,Infrequently,"Not at all","Yes, somewhat","Yes, somewhat","Subjective time is somewhat faster than actual time.",Important,"Somewhat inappropriate",No,,No,,
1870378664,"06/07/2012 04:26:41",AS;India;Haryana;Gurgaon,"Gurgaon, Haryana",India,1984,"Bachelor degree",Engineering,Male,,"Agree somewhat","Agree somewhat",Disagree,"Not sure",,Disagree,Disagree,"Not sure",,Disagree,True,False,True,Yes,Infrequently,10,"I don't experience complete mental silence accidentally","I have not experienced complete mental silence","I have not experienced complete mental silence",No,,,,,,,Yes,"Don't exactly know if it is really spiritual but i enjoy these activities - At times, i try to sense what's happening inside body,e.g. by touching nerves how blood is flowing, sensing pulse, feeling warmth of my own skin by touching hands. feeling of every breath i take, trying different posture and creating different sounds to sense vibration moving in my back. feeling my own weight by laying down on floor etc.",Infrequently,"Almost never","I am unaware of actual time.",Important,"Somewhat inappropriate","Not at all",Infrequently,"I am unaware of actual time.",Important,"Not sure",Infrequently,Infrequently,"Subjective time is somewhat faster than actual time.","Not sure","Somewhat important","Push ups, Asanas - Sitting/ stretching with different postures, playing flute",Infrequently,"Not at all","Subjective time is somewhat slower than actual time.","Somewhat inappropriate",Inappropriate,Infrequently,Infrequently,"Subjective time is somewhat slower than actual time.","Somewhat important","Somewhat inappropriate",No,,,,,,Frequently,"Almost never","I am unaware of actual time.",Important,Inappropriate,"Eating yoghurt/curd, sitting idle",None,"Every time","Not at all","Not sure / maybe",,"I am unaware of actual time.","Somewhat important",Inappropriate,No,,No,"I don't believe if meditation can be done intentionally. Loosing yourself and time during an activity is meditation in my view. So tasting some dishes, sitting idel and loose yourself or enjoying music is meditative experience for me.","The topic of survey was exciting, but survey was forcing to think more than sharing experience. I like if more study to be shared to me on this. I am very curious to know more about how survey will be analysed and what conclusions would be made. Can one judge Mental silence?i think ""No"". these are the moments when one is lost. means no memories, no knowledge of what happened during those moments...so one can not share if no memories, no experience is there."
1870378290,"06/07/2012 04:09:07",AS;India;Delhi;Delhi,"Gurgaon, Haryana",India,1951,"Associate degree","General Manager Projects in an EPC Company",Male,,Disagree,Disagree,Agree,Disagree,"Agree somewhat",Agree,"Agree somewhat",Agree,,"Agree somewhat",True,False,True,Yes,Infrequently,100,"I don't experience complete mental silence accidentally","Mostly continuous (e.g. usually ten seconds or longer)","1-2 minutes",No,,,,,,,Yes,"Choiceless Awareness",Frequently,Infrequently,"Subjective time is somewhat slower than actual time.",Important,Inappropriate,Infrequently,Infrequently,"Subjective time is somewhat slower than actual time.",Important,Inappropriate,Infrequently,Frequently,"Subjective time is somewhat slower than actual time.",Important,Inappropriate,Yogasanas,Frequently,"Almost never","I am unaware of actual time.",Important,Inappropriate,Infrequently,Infrequently,"Subjective time is somewhat slower than actual time.","Not sure",Inappropriate,Yes,"Every time",,"I am unaware of actual time.",Important,Inappropriate,Infrequently,Frequently,"Subjective time is somewhat faster than actual time.",Important,Inappropriate,Meditation,None,"Every time",,Yes,Yes,"I am unaware of actual time.",Important,Inappropriate,No,,Yes,"I sit on a mat placed on the floor inSukhasana. Close my eyes and become aware of my breath, bosy and mind.",
1870373657,"06/07/2012 03:50:30",AS;India;Karnataka;Bangalore,,,,"Bachelor degree",,,,"Not sure",Agree,,"Agree somewhat",Agree,Agree,Disagree,"Not sure",,Disagree,True,False,True,"Not sure",Infrequently,1,Infrequently,"Mostly moments (e.g. an isolated second or two)","A moment (e.g., a second or shorter)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870362078,"06/07/2012 03:48:45",AS;India;Karnataka;Bangalore,Chennai,India,1983,"Graduate degree","Pipeline Engineer",Male,,"Disagree somewhat","Not sure",Disagree,Agree,Disagree,"Not sure",Disagree,Agree,,Disagree,"Not sure","Not sure",True,Yes,"I don't try to cause myself to experience complete mental silence",,Infrequently,"Sometimes moments and sometimes continuous (e.g. isolated seconds and sometimes ten seconds or longer)","10 seconds",Yes,"I am Religious but I don't know if i belong to one particular religion",Infrequently,"Not at all","I am unaware of actual time.","Somewhat important",Inappropriate,Yes,"I had been practicing a different way of meditation which is called Sadhana in India. Its somewhat similar to Meditation but the technique is not only respiratory but its mental and physical alignment.",Frequently,"Not at all","Subjective time is typical.",Important,Inappropriate,Infrequently,Frequently,"Subjective time is typical.",Important,Inappropriate,Infrequently,"Every time","Subjective time is typical.",Important,"Somewhat inappropriate",Walking,"Not at all","Not at all","I am unaware of actual time.",Important,Inappropriate,,,,,,Yes,"Every time","Not at all","I am unaware of actual time.",Important,Inappropriate,"Almost never","Every time","I am unaware of actual time.","Not sure","Not sure",,"Rigorous, intensive thinking","Not at all","Not at all","Not sure / maybe","Not sure / maybe","I am unaware of actual time.",Important,Inappropriate,Yes,"Sadhana from Shri Ashutosh Maharaj Ji",No,"its does not kick off very good. I have this disturbed state of mind almost every time i do it. Sometimes the disturbance fades but sometimes it stays, when it stays i stop it there, i dont take it further.","Can you send me the analysis of my particular answer to your survey"
1870252562,"06/07/2012 01:14:24","NA;United States;New York;Oneonta","Worcester, NY",USA,1942,"Graduate degree","musician/ educator",Male,,Disagree,Disagree,Disagree,,Disagree,Agree,"Disagree somewhat","Not sure",,"Disagree somewhat",True,False,"Not sure","I know how to cause myself to experience complete mental silence.","I don't try to cause myself to experience complete mental silence",100,Infrequently,"Mostly moments (e.g. an isolated second or two)","10 seconds",Yes,"my own",Frequently,,"I am unaware of actual time.","Somewhat important","Not sure",Yes,"I create my own exercises and experiences",Frequently,Infrequently,"Subjective time is typical.",Important,"Not sure",Frequently,"Not at all","I am unaware of actual time.",Important,"Not sure","Almost never",,"Subjective time is typical.","Somewhat important","Not sure","playing trombone",Frequently,Infrequently,"Subjective time is typical.","Somewhat important","Not sure",Frequently,"Almost never","I am unaware of actual time.","Somewhat important","Not sure",Yes,Frequently,Infrequently,"Subjective time is typical.","Somewhat important","Not sure",Frequently,,"Subjective time is typical.","Somewhat important","Not sure","composing or improvising","A little thinking",Frequently,Infrequently,"Yes, somewhat","Yes, somewhat","I am unaware of actual time.",Important,"Not sure",Yes,"t m",No,"I create  My favorite is to listen with all senses","I experience the cessation of thought in two different ways  First spontaneously when involved in creative work   [pleasant and useful]  second forced stopping of mental activity  [unpleasant and painful]  to be avoided"
1869987592,"06/06/2012 20:54:35","NA;United States;Kentucky;Crestwood","Louisville, KY",USA,1990,"Some college but no degree",Student,Female,,Disagree,"Not sure",Agree,"Not sure","Not sure","Not sure","Not sure","Agree somewhat",,Disagree,True,False,False,Yes,"I don't try to cause myself to experience complete mental silence",,Weekly,"Sometimes moments and sometimes continuous (e.g. isolated seconds and sometimes ten seconds or longer)","10 seconds",Yes,Hindu,Infrequently,Frequently,"Subjective time is somewhat slower than actual time.","Not sure","Somewhat important",No,,,,,,,"Almost never",Frequently,"I am watching the clock.","Not sure","Somewhat inappropriate",Frequently,"Almost never","Subjective time is somewhat slower than actual time.","Somewhat important","Not sure",Running,Frequently,"Almost never","Subjective time is typical.","Somewhat important","Not sure",Infrequently,Frequently,"I am watching the clock.","Somewhat important","Somewhat inappropriate",No,,,,,,Infrequently,"Almost never","I am unaware of actual time.","Somewhat important","Not sure","Playing chess","Some moderate thinking","Almost never","Almost never","Yes, somewhat","Not sure / maybe","Subjective time is typical.","Not sure","Somewhat inappropriate",No,,No,,
1869919798,"06/06/2012 20:13:50","AS;India;West Bengal;Suri",,India,1979,"Graduate degree","Medical Doctor",Male,,Disagree,"Disagree somewhat","Not sure","Agree somewhat",Agree,"Agree somewhat","Not sure","Agree somewhat",,"Agree somewhat",True,False,True,Yes,"I don't try to cause myself to experience complete mental silence",,Infrequently,"Sometimes moments and sometimes continuous (e.g. isolated seconds and sometimes ten seconds or longer)","1-2 minutes",No,,,,,,,Yes,"Meditations based on Yoga",Infrequently,Frequently,"Subjective time is somewhat slower than actual time.",Important,Inappropriate,Infrequently,Infrequently,"Subjective time is somewhat faster than actual time.",Important,Inappropriate,Frequently,Infrequently,"Subjective time is somewhat slower than actual time.",Important,Inappropriate,Walking,Infrequently,"Almost never","Subjective time is somewhat faster than actual time.","Somewhat important",Inappropriate,"Almost never",Frequently,"I am unaware of actual time.","Somewhat important","Somewhat inappropriate",Yes,Infrequently,Frequently,"Subjective time is somewhat faster than actual time.",Important,"Somewhat inappropriate",Frequently,"Almost never","Subjective time is somewhat faster than actual time.","Somewhat important",Inappropriate,Jogging,None,Frequently,"Almost never","Yes, somewhat","Yes, somewhat","Subjective time is somewhat slower than actual time.","Somewhat important",Inappropriate,Yes,"Raja Yoga, Meditation on chakras,Guided Meditation",No,,"What is it that you plan to find out and how could it be practically beneficial?    Also, anything suggestion for me based on my scores/results?"
1869728279,"06/06/2012 18:08:16","NA;United States;;",Rajasthan,India,1989,"Bachelor degree",None,Female,,Disagree,Agree,"Disagree somewhat","Not sure",Disagree,Disagree,Disagree,Disagree,,Disagree,"Not sure","Not sure","Not sure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869300956,"06/06/2012 14:03:52","AS;India;Uttarakhand;Dehra Dun","dehradun,uttarakhand",india,1968,"Bachelor degree",housewife,Female,,Disagree,Disagree,Disagree,"Disagree somewhat","Disagree somewhat",Agree,"Not sure",Disagree,,"Not sure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
