Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""gym,"" clarify which specific activity you did at the gym. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?,"Did you read all of the instructions and questions carefully? In your honest opinion, should we use your data in our analyses?"
,,,,,,,,,"City and state (e.g. Richmond, VA)",Country (e.g. USA),Open-Ended Response,Response,Response,Open-Ended Response,Open-Ended Response,Response,Open-Ended Response,Open-Ended Response,Response,{{Q5}},{{Q8}},{{ Q5 }},{{ Q8 }},Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
,,03/01/2018 10:46:21 AM,03/01/2018 10:55:01 AM,,,,,,"Rainier, OR",USA,1967,Some college but no degree,Male,Hiking,Nature Hike through Rainier National Parks,I am more than slightly hindered.,Gym,Specific cardio workout for therapy ,I am more than slightly hindered.,Solo,Solo,Competent amateur,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q8}} permits somewhat more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 10:26:22 AM,03/01/2018 10:43:10 AM,,,,,,Gujarat,India,1994,Bachelor degree,Male,Football,I played as a mid fielder during the football game. The football game is that same of la liga/EPL.,I do not feel hindered or do not have a physical disability.,Gym,"I do all weight training for chests, biceps, shoulders, back, triceps and even legs.",I do not feel hindered or do not have a physical disability.,Group,Solo,Beginner,Beginner,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,Both are of roughly equal complexity.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q8}} permits much more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,The chance of serious physical injury is roughly equal.,Yes
,,03/01/2018 10:27:54 AM,03/01/2018 10:34:05 AM,,,,,,"Louisville, KY",USA,1973,Bachelor degree,Male,Backpacking,Walking through uneven terrain at a moderate pace while wearing a backpack.,I do not feel hindered or do not have a physical disability.,Swimming.,Lap swimming at a regulation-sized indoor pool.,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q8}} brings me into the present much more than {{Q5}}.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,The chance of serious physical injury is roughly equal.,Yes
,,03/01/2018 10:25:26 AM,03/01/2018 10:32:57 AM,,,,,,"Mn, IN",IN,1988,Graduate degree,Female,Elephant safari,Safari on the elephant for some time whenever I feel very low,I do not feel hindered or do not have a physical disability.,Fishing,Fish hunt ,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Beginner,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits somewhat more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q5}} permits much more control than {{Q8}}.,{{Q8}} brings me into the present much more than {{Q5}}.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,{{Q8}} has much higher stakes than {{Q5}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is much more rewarding than {{Q5}}.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 10:25:28 AM,03/01/2018 10:31:43 AM,,,,,,"Gainesville, FL",USA,1990,Graduate degree,Female,Martial Arts,Brazilian jiu jitsu,I do not feel hindered or do not have a physical disability.,Gym,Weight lifting,I do not feel hindered or do not have a physical disability.,Group,Solo,Beginner,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} has much more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits much more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 10:25:26 AM,03/01/2018 10:29:18 AM,,,,,,"waterbury,ct",usa,1975,Some college but no degree,Female,swimming,swimming laps in the pool,I do not feel hindered or do not have a physical disability.,dancing,jazz dancing,I feel slightly hindered.,Solo,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q5}} is much more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q8}} admits somewhat more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,Both involve about the same amount of waiting.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present much more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,The chance of serious physical injury is roughly equal.,Yes
,,03/01/2018 10:25:34 AM,03/01/2018 10:29:54 AM,,,,,,"El Centro, California",USA,1994,Associate degree,Male,Playing ping pong,I played ping pong in my backyard with my friends,I do not feel hindered or do not have a physical disability.,Gym,I weight lifted for an hour and a half,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Expert or professional,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q8}} permits much more control than {{Q5}}.,{{Q8}} brings me into the present much more than {{Q5}}.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is much more rewarding than {{Q5}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,03/01/2018 10:22:41 AM,03/01/2018 10:25:43 AM,,,,,,"Londonderry, NH",USA,1978,Some college but no degree,Female,yoga,Vinyasa Yoga,I do not feel hindered or do not have a physical disability.,HIIT,High Impact Interval Training,I do not feel hindered or do not have a physical disability.,Solo,Solo,Expert or professional,Competent amateur,Both require roughly equal skill.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,03/01/2018 10:21:45 AM,03/01/2018 10:22:34 AM,,,,,,"Londonderry, NH",USA,1978,Some college but no degree,Female,yoga,DDP Yoga,I do not feel hindered or do not have a physical disability.,football,American football ,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,,
