Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Have you completed this demographics page before?,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""gym,"" clarify which specific activity you did at the gym.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?
,,,,,,,,,Yes,"City and state (e.g. Richmond, VA)",Country (e.g. USA),Open-Ended Response,Response,Response,Open-Ended Response,Open-Ended Response,Response,Open-Ended Response,Open-Ended Response,Response,{{Q6}},{{Q9}},{{ Q6 }},{{ Q9 }},Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
,,02/28/2018 08:14:56 PM,02/28/2018 08:22:38 PM,,,,,,Yes,Philadelphia,USA,1963,Bachelor degree,Female,jogging,Jogging is an running activity that can be done alone or with others. Jogging tends to be done outside in nice weather. Jogging can be an activity that includes pets such as dogs. ,I do not feel hindered or do not have a physical disability.,gym dojohn strength training ,"Strength training is a physical activity that includes many types of workouts. Strength training exercises could be done on the floor on a matt, on a treadmill or on a machine",I feel slightly hindered.,Solo,Solo,Competent amateur,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits somewhat more creativity than {{Q6}}.,Both are of roughly equal complexity.,Both have equally clear goals.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,Both involve about the same amount of waiting.,{{Q6}} involves much more of my body than {{Q9}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q6}} has much higher stakes than {{Q9}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,02/26/2018 04:52:38 PM,02/26/2018 04:52:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/23/2018 10:54:36 AM,02/23/2018 10:54:44 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/22/2018 12:16:52 PM,02/22/2018 12:21:36 PM,,,,,,Yes,"Namakkal, TN",IN,1986,Bachelor degree,Female,running,football,I feel slightly hindered.,vallyball,tennise,I feel slightly hindered.,Solo,Group,Beginner,Competent amateur,Both require roughly equal skill.,{{Q9}} is somewhat more predictable than {{Q6}}.,Both offer roughly equal novelty.,{{Q9}} admits somewhat more creativity than {{Q6}}.,Both are of roughly equal complexity.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q9}} involves much more of my body than {{Q6}}.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q9}} brings me into the present somewhat more than {{Q6}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,02/21/2018 02:50:26 PM,02/21/2018 02:50:38 PM,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/19/2018 11:08:10 PM,02/19/2018 11:14:59 PM,,,,,,Yes,"Fort Worth, Texas",USA,1992,"High school degree or equivalent (e.g., GED)",Male,Gym,I run on the treadmill at my local gym.,I do not feel hindered or do not have a physical disability.,American Football,I play American Football with my friends at the park.,I do not feel hindered or do not have a physical disability.,Solo,Group,Beginner,Beginner,{{Q9}} requires much more skill than {{Q6}}.,Both offer roughly equal predictability.,,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q9}} involves somewhat more of my body than {{Q6}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,02/19/2018 11:07:33 PM,02/19/2018 11:07:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/15/2018 12:55:22 PM,02/15/2018 12:58:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,02/10/2018 10:17:56 PM,02/10/2018 10:31:01 PM,,,,,,,"Stafford, VA",USA,1995,Bachelor degree,Female,Tennis,"Cement court tennis, both singles and doubles",I do not feel hindered or do not have a physical disability.,Running,Around the neighborhood (Suburban) ,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Beginner,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
